id	rate
1001	-41.5
1003	-48.1
1005	7.7
1007	-22.5
1009	-43.3
1011	39.5
1013	-7.2
1015	-17.2
1017	-4
1019	-8.9
1021	-35.4
1023	1
1025	-12.7
1027	-28.9
1029	-33.3
1031	-31.1
1033	-0.3
1035	1
1037	-6.6
1039	-33.7
1041	-18.4
1043	-32.4
1045	-36.5
1047	19
1049	-28.9
1051	-43.1
1053	-21.5
1055	-9.8
1057	-20
1059	-12.4
1061	-40.4
1063	59.9
1065	21.1
1067	-18.9
1069	-40.2
1071	2.8
1073	-3.7
1075	-25.6
1077	-11.7
1079	4.7
1081	-21
1083	-22.6
1085	46.3
1087	73.9
1089	-12.8
1091	1.1
1093	-20.2
1095	-24.4
1097	-14.4
1099	-16.3
1101	1.5
1103	-23.3
1105	39.1
1107	-2.4
1109	-16.7
1111	-20.3
1113	14.4
1115	-44.7
1117	-56
1119	45.2
1121	-10.4
1123	-22.8
1125	-16.2
1127	-7.8
1129	-10.1
1131	34.3
1133	-40.4
2013	-0.5
2016	-0.5
2020	-0.5
2050	-0.5
2060	-0.5
2068	-0.5
2070	-0.5
2090	-0.5
2100	-0.5
2105	-0.5
2110	-0.5
2122	-0.5
2130	-0.5
2150	-0.5
2164	-0.5
2170	-0.5
2180	-0.5
2185	-0.5
2188	-0.5
2195	-0.5
2198	-0.5
2220	-0.5
2230	-0.5
2240	-0.5
2261	-0.5
2270	-0.5
2275	-0.5
2282	-0.5
2290	-0.5
4001	35.9
4003	-15.1
4005	6.1
4007	-8.7
4009	-28
4011	-14.1
4012	-17.7
4013	-10.8
4015	-16.1
4017	-2.9
4019	7.5
4021	-1.6
4023	20.7
4025	-24.2
4027	-13.2
5001	-7.9
5003	4
5005	-18.6
5007	-33.2
5009	-30.3
5011	7.7
5013	-5.6
5015	-20.9
5017	27.7
5019	9.7
5021	21.1
5023	-16.2
5025	-8.8
5027	-11.4
5029	-1.2
5031	0.4
5033	-26.1
5035	9.8
5037	0.5
5039	3.7
5041	25.6
5043	4.7
5045	-14.6
5047	-10.3
5049	-2
5051	-9.5
5053	-12.9
5055	3.4
5057	8.8
5059	3.9
5061	-6.4
5063	-9.1
5065	5.2
5067	22.1
5069	32.4
5071	-5.9
5073	7.4
5075	9.9
5077	32.9
5079	11.7
5081	10.9
5083	-15.3
5085	-21.4
5087	-24.2
5089	-20
5091	-7.7
5093	14.7
5095	17.1
5097	-18.9
5099	1.4
5101	-34.2
5103	6.5
5105	-12.2
5107	30.2
5109	-17.4
5111	14.9
5113	-32.3
5115	-25.3
5117	-9
5119	9.3
5121	5.4
5123	18
5125	-18.8
5127	-24.5
5129	-34.5
5131	-20.3
5133	-0.9
5135	-7
5137	-12.5
5139	-15.8
5141	-4.6
5143	-13.8
5145	-22.3
5147	29.7
5149	-2.9
6001	44.8
6003	-3.3
6005	-19
6007	-17.5
6009	-19.1
6011	-34.2
6013	21.2
6015	-17.5
6017	-22.5
6019	-10.6
6021	-38.3
6023	2.4
6025	9.7
6027	-26.9
6029	-25
6031	-19.3
6033	9.1
6035	-39.2
6037	30.6
6039	-26.3
6041	35.5
6043	-24.1
6045	12.1
6047	-7.2
6049	-49.8
6051	-12.1
6053	19.8
6055	13.9
